gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,cogs,csho,dvt,epspi,invt,lct,ni,rect,revt,seq,costat,prcc_c
036330,2020-12-31,2020,INDL,C,D,STD,LI,USD,4776.6450,5534.7590,1166.9870,904.6440,0.0000,-0.0300,159.4700,655.7150,-23.0770,48.6280,1438.9700,4535.0800,A,28.8300
036330,2021-12-31,2021,INDL,C,D,STD,LI,USD,8245.7530,9736.2890,3273.5310,964.7810,0.0000,-0.0600,254.6890,1906.0880,-50.6040,41.7200,4251.8940,6464.3650,A,32.1000
039337,2019-12-31,2019,INDL,C,D,STD,LCID,USD,,,,,,,,,,,,,A,
039337,2020-12-31,2020,INDL,C,D,STD,LCID,USD,,,,,,,,,,,,,A,
039337,2021-12-31,2021,INDL,C,D,STD,LCID,USD,6506.9770,7881.7130,91.9900,1647.5560,2167.3320,-6.4100,127.2500,396.1010,-2579.7610,3.1480,27.1110,3909.3550,A,38.0500
039337,2022-12-31,2022,INDL,C,D,STD,LCID,USD,4912.0280,7879.2380,1459.5030,1829.3150,0.0000,-0.7800,834.4010,937.5590,-1304.4600,19.5420,608.1810,4349.7010,A,6.8300
039811,2019-12-31,2019,INDL,C,D,STD,RIVN,USD,2293.0000,2633.0000,0.0000,100.5980,0.0000,-0.4900,0.0000,185.0000,-426.0000,0.0000,0.0000,2375.0000,A,
039811,2020-12-31,2020,INDL,C,D,STD,RIVN,USD,3016.0000,4602.0000,0.0000,101.3280,0.0000,-1.1600,0.0000,611.0000,-1018.0000,0.0000,0.0000,3860.0000,A,
039811,2021-12-31,2021,INDL,C,D,STD,RIVN,USD,18559.0000,22294.0000,416.0000,900.0000,0.0000,-5.3500,274.0000,1313.0000,-4688.0000,26.0000,55.0000,19514.0000,A,103.6900
039811,2022-12-31,2022,INDL,C,D,STD,RIVN,USD,13130.0000,17876.0000,4306.0000,926.0000,0.0000,-7.4000,1348.0000,2424.0000,-6752.0000,102.0000,1658.0000,13799.0000,A,18.4300
100737,2017-12-31,2017,INDL,C,D,STD,VWAGY,USD,192486.6460,507560.4250,198335.3500,2506.4760,1549.6360,5.4500,48586.9130,192819.6560,13979.1820,94438.8210,279779.5920,130858.2680,A,40.5150
100737,2018-12-31,2018,INDL,C,D,STD,VWAGY,USD,210129.9240,524541.7000,192346.2300,5012.9520,2605.7870,2.7000,52373.3400,192306.1580,13894.4770,98116.5790,272751.2430,134086.9710,A,15.9010
100737,2019-12-31,2019,INDL,C,D,STD,VWAGY,USD,210367.7320,547704.8230,201284.7870,5012.9520,3320.5390,2.9900,52453.0630,188441.4040,15582.6290,102855.8990,285873.7930,136660.5290,A,19.4470
100737,2020-12-31,2020,INDL,C,D,STD,VWAGY,USD,234982.7680,599214.2560,190752.3340,5012.9520,3558.3000,2.0000,52823.6310,199382.8980,10688.1580,107565.0310,272127.9440,153143.0860,A,20.8130
100737,2021-12-31,2021,INDL,C,D,STD,VWAGY,USD,227859.7960,601200.6120,199758.7520,5012.9520,3364.2090,3.3700,49729.5670,186968.3870,17494.3440,99269.2010,287351.0300,164285.5630,A,29.3850
184996,2017-12-31,2017,INDL,C,D,STD,TSLA,USD,6570.5200,28655.3720,7900.2610,168.7970,0.0000,-11.8300,2263.5370,7674.6700,-1961.4000,515.3810,11758.7510,4237.3120,A,311.3500
184996,2018-12-31,2018,INDL,C,D,STD,TSLA,USD,8306.3080,29739.6140,15531.4610,172.6030,0.0000,-5.7200,3113.4460,9992.1360,-976.0910,949.0220,21461.2680,4923.2430,A,332.8000
184996,2019-12-31,2019,INDL,C,D,STD,TSLA,USD,12103.0000,34309.0000,18402.0000,181.0000,0.0000,-4.9200,3552.0000,10667.0000,-862.0000,1324.0000,24578.0000,6618.0000,A,418.3300
184996,2020-12-31,2020,INDL,C,D,STD,TSLA,USD,26717.0000,52148.0000,22351.0000,960.0000,0.0000,0.7400,4101.0000,14248.0000,721.0000,1912.0000,31536.0000,22225.0000,A,705.6700
184996,2021-12-31,2021,INDL,C,D,STD,TSLA,USD,27100.0000,62131.0000,37306.0000,1033.0000,0.0000,5.6000,5757.0000,19705.0000,5519.0000,1997.0000,53823.0000,30189.0000,A,1056.7800
184996,2022-12-31,2022,INDL,C,D,STD,TSLA,USD,40917.0000,82338.0000,56862.0000,3164.0000,0.0000,4.0200,12839.0000,26709.0000,12556.0000,3123.0000,81462.0000,44704.0000,A,123.1800
