tic,fyear,roe,roa,profit_margin,payout_ratio,pe,inventory_turnover,eps,current_ratio,asset_turnover,acid_test,accounts_receivable_turnover,seq,revt,rect,prcc_c,ni,lct,invt,epspi,dvt,csho,cogs,at,act
NIO,2017,-0.6188609868948226,-0.47618662856212324,-Infinity,0,,0,-32.12327044025157,6.467681831155205,0,5.079067860315725,0,1237.984,0,77.77,,-766.14,248.761,13.75,-0.76,0,23.85,0,1608.907,1277.224
NIO,2018,-1.4129753568414265,-0.5126998235147038,-1.9511678432614596,0,-4.765494416539999,3.5537181160168605,-1.3366923645721018,2.192680353952836,0.26276561767116063,1.245654825552731,2.4729440054963927,994.069,719.874,291.1,6.37,-1404.595,1249.432,213.038,-1.38,0,1050.799,757.077,2739.605,1769.399
NIO,2019,1.8116933429272817,-0.7826823976132358,-1.4585609499342846,0,-2.610677674293181,9.74591196937793,-1.5398300753800946,1.535135135135135,0.5366127467271762,0.4251541207603046,2.774827650916561,-904.737,1123.783,404.992,4.02,-1639.106,1364.19,127.751,-1.59,0,1064.472,1245.05,2094.216,707.742
NIO,2020,-0.20651571298643498,-0.10268287699051513,-0.34511097268803026,0,-87.14712159846516,12.869500227859639,-0.5592841060726257,3.9096304983020658,0.2975358221465108,3.2287128144892887,6.397507609316855,4134.16,2473.897,386.697,48.74,-853.769,2126.702,164.575,-0.72,0,1526.539,2117.998,8314.619,7031.085
NIO,2021,-0.30459045525713047,-0.12755613473486005,-0.2925666440776885,0,-31.287307100466926,13.693665974693555,-1.0125511888342482,2.8386589994885116,0.43599001224824735,2.1092074669920238,6.184426670609429,5464.055,5688.615,919.829,31.68,-1664.299,4596.389,323.712,-1.06,0,1643.669,4432.804,13047.581,10018.45
RIVN,2019,-0.17936842105263157,-0.16179263197873148,-Infinity,0,,NaN,-4.234676633730293,14.232432432432432,0,12.394594594594595,NaN,2375,0,0,,-426,185,0,-0.49,0,100.598,0,2633,2293
RIVN,2020,-0.26373056994818656,-0.22120817036071275,-Infinity,0,,NaN,-10.046581399021001,7.531914893617022,0,4.9361702127659575,NaN,3860,0,0,,-1018,611,0,-1.16,0,101.328,0,4602,3016
RIVN,2021,-0.24023777800553447,-0.21028079303848568,-85.23636363636363,0,-19.906356655290104,1.5182481751824817,-5.208888888888889,16.97943640517898,0.0024670314882928143,13.926123381568926,2.1153846153846154,19514,55,26,103.69,-4688,1313,274,-5.35,0,900,416,22294,18559
RIVN,2022,-0.4893108196246105,-0.3777131349295144,-4.072376357056695,0,-2.5275740521327013,3.1943620178041545,-7.291576673866091,7.374587458745874,0.09275005594092638,4.8605610561056105,16.254901960784313,13799,1658,102,18.43,-6752,2424,1348,-7.4,0,926,4306,17876,13130
TSLA,2017,-0.4628877930159498,-0.06844789870464778,-0.1668034300581754,0,-26.794608927296828,3.490228346167967,-11.619874760807361,3.7337594971510173,0.4103506665347077,0.5611945529905521,22.815647064986877,4237.312,11758.751,515.381,311.35,-1961.4,7674.67,2263.537,-11.83,0,168.797,7900.261,28655.372,6570.52
TSLA,2018,-0.19826179613722092,-0.03282123971077768,-0.045481515817238756,0,-58.84930646835183,4.9885114435901565,-5.6551218692606735,2.976301963864383,0.7216390905409868,0.5196948880599704,22.614089030602027,4923.243,21461.268,949.022,332.8,-976.091,9992.136,3113.446,-5.72,0,172.603,15531.461,29739.614,8306.308
TSLA,2019,-0.13025083106678756,-0.025124602873881487,-0.03507201562372854,0,-87.8395939675174,5.180743243243243,-4.762430939226519,3.216368238492547,0.7163717974875398,0.8016311990250304,18.563444108761328,6618,24578,1324,418.33,-862,10667,3552,-4.92,0,181,18402,34309,12103
TSLA,2020,0.03244094488188976,0.013826033596686355,0.022862760020294266,0,939.588349514563,5.4501341136308215,0.7510416666666667,3.660022459292532,0.6047403543760067,1.5873104997192589,16.493723849372383,22225,31536,1912,705.67,721,14248,4101,0.74,0,960,22351,52148,26717
TSLA,2021,0.1828149325913412,0.08882844312822906,0.10253980640246735,0,197.79919188258742,6.480111169011638,5.342691190706679,3.1530575995940118,0.8662825320693374,1.083126110124334,26.951927891837755,30189,53823,1997,1056.78,5519,19705,5757,5.6,0,1033,37306,62131,27100
TSLA,2022,0.2808697208303508,0.1524933809419709,0.15413321548697553,0,31.040261229690987,4.428849598878418,3.968394437420986,3.082781085027519,0.9893609269110253,1.0512561308922086,26.084534101825167,44704,81462,3123,123.18,12556,26709,12839,4.02,0,3164,56862,82338,40917
VWAGY,2017,0.10682689151899825,0.027541906956201324,0.049964981005476625,0.11085312431013489,7.264364620190223,4.082073499915502,5.577225554922529,2.632306454275595,0.5512242054726785,0.7462918251446317,2.962548547699468,130858.268,279779.592,94438.821,40.515,13979.182,192819.656,48586.913,5.45,1549.636,2506.476,198335.35,507560.425,192486.646
VWAGY,2018,0.10362287175537735,0.026488793931921908,0.050941938328765014,0.18754120792024054,5.736880182823722,3.672598119577633,2.771715548044346,2.7276386021918237,0.5199800950048395,0.8203407818068936,2.7798690677953624,134086.971,272751.243,98116.579,15.901,13894.477,192306.158,52373.34,2.7,2605.787,5012.952,192346.23,524541.7,210129.924
VWAGY,2019,0.11402435739144548,0.02845077922565601,0.05450877058884513,0.21309234789585252,6.256125172716363,3.8374267485580393,3.1084736099607575,2.906499375264684,0.5219486500669358,0.838004099141609,2.7793621540364932,136660.529,285873.793,102855.899,19.447,15582.629,188441.404,52453.063,2.99,3320.539,5012.952,201284.787,547704.823,210367.732
VWAGY,2020,0.06979197219520572,0.017836955467895273,0.03927622368689927,0.3329198539168302,9.76169794421078,3.6111174182630497,2.132108585919035,3.0053442998907562,0.45414130467550157,0.9136146521453411,2.529892303010632,153143.086,272127.944,107565.031,20.813,10688.158,199382.898,52823.631,2,3558.3,5012.952,190752.334,599214.256,234982.768
VWAGY,2021,0.1064874093653622,0.029099012294418625,0.06088143828821494,0.19230266650752947,8.420183947451816,4.016901092261672,3.4898287476121856,3.215520129614211,0.47796197186838535,0.9527291316900541,2.8946644790663725,164285.563,287351.03,99269.201,29.385,17494.344,186968.387,49729.567,3.37,3364.209,5012.952,199758.752,601200.612,227859.796
XPEV,2018,-0.29177055567829363,-0.18229984582840342,-144.13961729270022,0,,9.71322961939965,-1.1641262227615379,7.886220814748316,0.0012647448997884622,6.1046251069153925,0.00892258660157584,697.058,1.411,158.138,,-203.381,141.467,24.619,-0.3,0,174.707,239.13,1115.64,888.222
XPEV,2019,-1.2894206916678825,-0.39904082803094276,-1.5904009119133682,0,,5.7945812505749945,-2.9231532634225412,2.805406227169649,0.2509058093728503,1.3665736208884254,1.7534267470361136,411.18,333.365,190.122,,-530.184,473.602,65.218,-0.77,0,181.374,377.911,1328.646,712.43
XPEV,2020,-0.07934942155322645,-0.061108970662361005,-0.4674599462051222,0,-79.16442128482562,3.9089899296346684,-0.541025871280003,5.704388287056176,0.13072557586687072,4.891537623651956,3.2337739313830656,5239.03,889.304,275.005,42.83,-415.714,1192.561,204.362,-0.59,0,768.381,798.849,6802.831,6037.819
XPEV,2021,-0.115385282039062,-0.07407461521260612,-0.2317068926014002,0,-55.91109696153489,6.670676616369281,-0.9001790831366712,3.644730517361102,0.3196910302536183,2.563131201810716,5.049645726093389,6634.737,3303.963,654.296,50.33,-765.551,2835.563,419.041,-0.93,0,850.443,2795.287,10334.863,7686.961
XPEV,2022,-0.2475970122395926,-0.12783386359790477,-0.340306494457761,,-6.453274743553362,5.256530493943925,-1.5403032406035053,2.9646047009158147,0.37564332647131293,1.617511454835628,5.2140626548359705,5351.567,3893.643,746.758,9.94,-1325.032,3496.34,655.54,-1.55,,860.241,3445.866,10365.266,6310.91
