,tic,fyear,current_ratio,acid,receivable_turnover,inventory_turnover,profit_margin,asset_turnover,roa,roe,eps,pe,payout_ratio,debt_to_assets_ratio,times_interest_earned
63,RIVN,2020,4.9361702127659575,4.875613747954174,,,-inf,0.0,-0.3375331564986737,0.7355491329479769,-1.16,,-0.0,0.2025862068965517,-126.25
64,RIVN,2021,14.134805788271136,,2.1153846153846154,1.5182481751824817,-85.23636363636363,0.0029635217414731396,-0.25259981680047416,-0.24023777800553447,-5.35,-19.381308411214953,-0.0,0.07074734630098604,-160.6551724137931
65,RIVN,2022,5.416666666666667,,16.254901960784313,3.1943620178041545,-4.072376357056695,0.12627570449352626,-0.5142421934501142,-0.4893108196246105,-7.4,-2.4905405405405405,-0.0,0.18461538461538463,-64.51456310679612
76,VWAGY,2020,1.1785502686393896,0.33881263978819287,2.529892303010632,3.6111174182630497,0.03927622368689927,1.1580761700789908,0.04548485870249004,0.08442911974988072,2.0,10.4065,0.2728092155823295,0.848500082354975,7.4094120489083615
77,VWAGY,2021,1.2187076096452607,0.416611413564797,2.8946644790663725,4.016901092261672,0.06088143828821494,1.2610870151046745,0.07677679128616441,0.1224598053354766,3.37,8.719584569732937,0.16142245745253436,0.8205413604425416,13.214108304577476
89,NVDA,2020,4.090445859872611,2.8053503184713375,6.864965006175381,2.728368017524644,0.25979010494752625,1.038617253192152,0.2698224852071006,0.2564375776949032,7.02,74.01566951566953,0.09118190212373038,0.2444721270632202,24.96195652173913
90,NVDA,2021,6.650288350634371,4.381314878892733,5.787956989247312,3.1727447216890594,0.3623393029649996,0.933573831905373,0.3382704915189566,0.3664512250112731,3.91,62.62404092071611,0.040914684167350286,0.15036941968157064,43.1228813559322
91,NVDA,2022,3.515617857687033,2.1511503885418253,7.04834073686961,1.9528978484202364,0.16193371394676356,1.169072075586183,0.1893121830711221,0.19763811592235644,1.76,111.00568181818183,0.09111721611721611,0.28444502232046115,16.958015267175572
102,TSLA,2020,1.8751403705783267,1.331414935429534,16.493723849372383,5.4501341136308215,0.022862760020294266,1.1803720477598534,0.026986562862596847,0.03244094488188976,0.74,953.608108108108,0.0,0.5332934086910955,2.4659913169319827
103,TSLA,2021,1.3752854605430094,0.9095153514336463,26.951927891837755,6.480111169011638,0.10253980640246735,1.986088560885609,0.20365313653136533,0.1828149325913412,5.6,188.7107142857143,0.0,0.7271217712177122,18.867816091954023
104,TSLA,2022,1.53195552061103,0.799543225130106,26.084534101825167,4.428849598878418,0.15413321548697553,1.9909084243712882,0.30686511718845466,0.2808697208303508,4.02,30.641791044776124,0.0,0.6527604663098467,72.66492146596859
1,STLA,2020,1.144257293999286,0.7513387206698472,11.531042339092462,8.809727916511369,,1.7225594191389189,,,,,,0.873929321005162,
2,STLA,2021,1.1532294123995868,0.7965215782413617,17.952541151027273,10.179297597042513,0.0884091045984781,1.9977137509191791,0.17661608396283174,,4.318,3.865215377489579,,0.8671301557590748,18.52143684820394
3,STLA,2022,1.268627010849233,0.7226038159371493,15.48340374170187,8.028629032258065,0.09353980132745333,2.1184297442672455,0.19815749740492591,,5.3498,2.478597330741336,,0.7882537510616212,17.125516102394716
